price,m2,beds,bath,laundry,pets,housing_type,parking,hood_district
1699,4.746957148682708,1.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,6.0
3100,6.473123384567329,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
3250,6.904664943538484,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
3950,10.615922350690418,3.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7.0
5250,15.53549612296159,4.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,6.0
2550,6.473123384567329,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
2349,5.351115331242325,1.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,8.0
3416,7.6382855937894485,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4495,8.67398533532022,2.0,1.0,(b) on-site,(a) both,(c) multi,(c) off-street,7.0
2733,6.585324189899829,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3395,5.903488526725404,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
2900,8.458214555834644,2.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,9.0
3700,7.767748061480795,2.0,1.0,(a) in-unit,(d) no pets,(a) single,(b) protected,2.0
2099,4.531186369197131,0.0,1.0,(b) on-site,(a) both,(c) multi,(d) no parking,1.0
4200,10.356997415307726,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
4750,12.946246769134659,3.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,1.0
4595,7.767748061480795,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
3725,7.379360658406755,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
1900,5.610040266625019,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
4375,12.764999314366772,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3198,7.983518840966372,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
2900,7.33620650250964,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(b) protected,6.0
4099,11.220080533250037,3.0,1.0,(c) no laundry,(a) both,(c) multi,(d) no parking,5.0
2300,5.178498707653863,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(b) protected,5.0
3500,6.0415818255961735,2.0,2.0,(b) on-site,(a) both,(c) multi,(d) no parking,9.0
2335,6.0415818255961735,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
3271,7.42251481430387,1.0,2.0,(a) in-unit,(a) both,(c) multi,(a) valet,9.0
3000,8.19928962045195,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
5600,15.53549612296159,2.0,2.0,(a) in-unit,(c) cats,(c) multi,(b) protected,8.0
3600,10.831693130175998,1.0,1.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2800,8.19928962045195,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2595,5.955273513801942,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
2550,5.264807019448094,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3250,7.776378892660217,1.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
4200,12.946246769134659,3.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
4600,10.788538974278882,3.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
2200,3.702626575972512,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
3300,8.371906244040412,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
4149,10.356997415307726,3.0,1.5,(b) on-site,(d) no pets,(c) multi,(b) protected,2.0
2195,6.473123384567329,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1.0
2815,5.359746162421748,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
4075,8.19928962045195,2.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5.0
4500,12.514705210163502,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
3500,9.03648024485599,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,6.0
4202,7.33620650250964,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
1600,2.5892493538269314,0.0,1.0,(c) no laundry,(d) no pets,(a) single,(d) no parking,10.0
4500,9.554330115621378,2.0,2.0,(b) on-site,(d) no pets,(c) multi,(a) valet,9.0
3734,9.183204374906184,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2500,8.630831179423105,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
2950,8.630831179423105,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,6.0
3950,5.221652863550978,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
3250,7.767748061480795,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,7.0
3400,5.868965202007712,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,6.0
2195,3.5645332771017424,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,5.0
5450,10.70223066248465,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
1780,2.5892493538269314,1.0,1.0,(b) on-site,(c) cats,(c) multi,(d) no parking,8.0
3995,8.630831179423105,2.0,2.0,(a) in-unit,(c) cats,(c) multi,(b) protected,5.0
2882,6.870141618820792,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,8.0
2345,4.315415589711552,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,2.0
2574,6.352291748055405,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2995,8.078457983940027,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,9.0
3995,7.767748061480795,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,7.0
3700,9.493914297365416,2.0,1.0,(c) no laundry,(d) no pets,(a) single,(b) protected,2.0
5500,12.946246769134659,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3459,7.612393100251179,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3250,8.630831179423105,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3575,8.630831179423105,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
4265,11.78108455991254,3.0,2.5,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
3588,8.58767702352599,2.0,2.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
5555,13.420942484002929,5.0,1.5,(c) no laundry,(a) both,(c) multi,(d) no parking,5.0
3000,6.421338397490791,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,4.0
2500,8.19928962045195,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,2.0
5200,8.630831179423105,3.0,1.0,(a) in-unit,(d) no pets,(a) single,(c) off-street,7.0
2996,7.724593905583679,2.0,2.0,(b) on-site,(a) both,(c) multi,(b) protected,8.0
2695,8.630831179423105,2.0,2.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,5.0
3995,10.270689103513496,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3450,9.493914297365416,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,1.0
2800,6.732048319950022,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,7.0
2500,4.315415589711552,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5.0
3700,6.904664943538484,1.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,7.0
2395,4.315415589711552,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,1.0
2490,3.9701823425346285,0.0,1.0,(b) on-site,(a) both,(c) multi,(b) protected,9.0
4295,7.163589878921178,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9.0
2600,6.904664943538484,1.0,1.0,(a) in-unit,(c) cats,(c) multi,(d) no parking,8.0
2800,6.188305955646366,1.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1.0
3150,8.630831179423105,1.0,1.0,(c) no laundry,(c) cats,(c) multi,(d) no parking,8.0
3395,7.767748061480795,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,7.0
3895,8.630831179423105,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(c) off-street,8.0
4000,10.918001441970228,2.0,2.0,(a) in-unit,(d) no pets,(c) multi,(a) valet,9.0
3498,8.58767702352599,2.0,2.0,(b) on-site,(a) both,(c) multi,(c) off-street,5.0
2800,5.635932760163287,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3200,7.905841360351564,1.0,1.0,(a) in-unit,(b) dogs,(c) multi,(b) protected,9.0
3850,9.062372738394261,2.0,1.5,(a) in-unit,(d) no pets,(c) multi,(b) protected,9.0
3990,6.352291748055405,1.0,1.0,(a) in-unit,(a) both,(c) multi,(b) protected,9.0
2906,6.455861722208482,1.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
3500,6.740679151129445,1.0,1.0,(a) in-unit,(d) no pets,(c) multi,(b) protected,8.0
4495,12.083163651192347,3.0,2.0,(b) on-site,(a) both,(c) multi,(c) off-street,2.0
2800,7.5519772819952165,2.0,1.0,(b) on-site,(d) no pets,(c) multi,(b) protected,9.0
4500,9.709685076850993,2.0,1.0,(a) in-unit,(a) both,(a) single,(b) protected,5.0
1995,4.746957148682708,1.0,1.0,(b) on-site,(c) cats,(c) multi,(b) protected,2.0
1675,3.0207909127980868,0.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,2.0
3896,6.283245098620021,2.0,1.0,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9.0
4068,9.606115102697917,2.0,2.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
5500,25.029410420327004,4.0,2.0,(c) no laundry,(c) cats,(a) single,(b) protected,2.0
2595,6.386815072773098,1.0,1.0,(b) on-site,(d) no pets,(c) multi,(d) no parking,8.0
4500,12.083163651192347,3.0,1.0,(a) in-unit,(a) both,(c) multi,(d) no parking,9.0
